fecha,n,n_black,n_white,n_hisp
2013-01-01,6,1,2,3
2013-01-02,7,1,2,3
2013-01-03,10,2,3,3
2013-01-04,16,5,6,3
2013-01-05,22,5,10,3
2013-01-06,26,5,14,3
2013-01-07,29,6,15,4
2013-01-08,31,6,17,4
2013-01-09,34,7,18,4
2013-01-10,37,7,21,4
2013-01-11,41,8,23,4
2013-01-12,46,8,25,5
2013-01-13,52,11,25,6
2013-01-14,55,11,25,6
2013-01-15,59,11,28,6
2013-01-16,64,12,30,6
2013-01-17,69,13,31,8
2013-01-18,75,15,35,8
2013-01-19,76,16,35,8
2013-01-21,78,17,35,9
2013-01-22,82,17,37,9
2013-01-23,83,18,37,9
2013-01-24,87,20,38,9
2013-01-25,91,22,39,10
2013-01-27,94,22,40,10
2013-01-28,98,24,42,10
2013-01-29,102,24,45,10
2013-01-30,104,24,45,12
2013-01-31,105,25,45,12
2013-02-01,106,26,45,12
2013-02-02,107,26,46,12
2013-02-03,108,26,46,12
2013-02-04,109,26,47,12
2013-02-05,110,26,48,12
2013-02-07,112,26,50,12
2013-02-08,115,26,50,14
2013-02-09,119,27,52,15
2013-02-10,120,27,53,15
2013-02-11,123,27,56,15
2013-02-12,125,29,56,15
2013-02-13,126,30,56,15
2013-02-14,127,30,56,16
2013-02-15,128,30,56,16
2013-02-16,131,31,56,18
2013-02-17,132,31,57,18
2013-02-18,135,32,59,18
2013-02-19,139,33,61,19
2013-02-20,140,34,61,19
2013-02-21,143,35,62,20
2013-02-22,145,35,63,21
2013-02-23,148,35,65,21
2013-02-24,150,35,66,22
2013-02-25,153,35,68,23
2013-02-26,156,35,69,23
2013-02-28,158,36,69,23
2013-03-01,161,37,71,23
2013-03-02,165,38,72,23
2013-03-03,167,38,73,23
2013-03-04,170,39,73,25
2013-03-05,173,40,75,25
2013-03-06,175,40,76,25
2013-03-07,178,40,76,26
2013-03-08,185,41,80,26
2013-03-09,186,42,80,26
2013-03-10,194,46,83,27
2013-03-12,198,47,84,28
2013-03-13,203,49,85,30
2013-03-14,208,50,87,30
2013-03-15,212,51,89,30
2013-03-16,215,51,89,32
2013-03-17,217,52,90,32
2013-03-18,220,53,90,34
2013-03-19,226,54,90,36
2013-03-20,227,55,90,36
2013-03-21,232,55,94,36
2013-03-22,235,57,95,36
2013-03-23,237,57,96,36
2013-03-24,238,57,96,36
2013-03-25,241,57,97,37
2013-03-26,243,57,98,37
2013-03-27,245,57,98,37
2013-03-28,247,57,99,37
2013-03-29,250,57,102,37
2013-03-30,253,58,102,39
2013-03-31,256,58,105,39
2013-04-01,259,59,105,39
2013-04-02,262,61,106,39
2013-04-04,265,62,106,39
2013-04-05,266,62,106,39
2013-04-06,267,62,107,39
2013-04-07,270,63,107,39
2013-04-08,273,64,108,39
2013-04-09,277,65,110,40
2013-04-10,282,65,115,40
2013-04-11,285,65,116,40
2013-04-12,287,65,117,40
2013-04-13,289,65,118,41
2013-04-15,291,67,118,41
2013-04-17,294,68,119,42
2013-04-18,299,68,122,42
2013-04-19,304,68,123,43
2013-04-20,310,69,126,45
2013-04-21,312,71,126,45
2013-04-22,318,72,128,45
2013-04-23,322,73,130,46
2013-04-24,325,75,130,46
2013-04-25,328,76,131,47
2013-04-26,330,78,131,47
2013-04-27,337,81,133,47
2013-04-28,339,81,134,48
2013-04-29,344,82,134,49
2013-04-30,350,82,137,50
2013-05-01,355,85,138,50
2013-05-02,359,87,139,51
2013-05-03,360,87,140,51
2013-05-04,364,88,141,52
2013-05-05,366,90,141,52
2013-05-06,367,90,141,52
2013-05-07,370,91,141,54
2013-05-08,373,91,143,54
2013-05-09,377,92,143,55
2013-05-10,383,93,145,56
2013-05-11,385,93,146,57
2013-05-12,388,94,147,57
2013-05-13,389,94,148,57
2013-05-14,392,94,150,58
2013-05-15,396,97,150,59
2013-05-16,401,99,152,59
2013-05-17,407,100,154,61
2013-05-18,411,103,155,61
2013-05-19,412,103,155,62
2013-05-20,417,105,157,63
2013-05-21,418,105,157,64
2013-05-22,422,107,158,64
2013-05-23,426,109,158,64
2013-05-24,431,109,161,65
2013-05-25,436,111,163,65
2013-05-26,440,111,165,67
2013-05-27,441,112,165,67
2013-05-28,443,112,167,67
2013-05-29,447,115,167,67
2013-05-30,450,115,167,69
2013-05-31,452,116,168,69
2013-06-01,455,116,170,69
2013-06-02,461,119,170,71
2013-06-03,464,119,172,72
2013-06-04,470,120,173,73
2013-06-05,475,121,175,73
2013-06-06,477,121,177,73
2013-06-07,483,121,181,73
2013-06-08,492,123,184,74
2013-06-09,496,123,187,75
2013-06-10,499,124,189,75
2013-06-11,501,125,190,75
2013-06-12,503,125,191,75
2013-06-13,506,125,193,75
2013-06-14,508,126,194,75
2013-06-15,512,127,195,76
2013-06-16,522,132,197,77
2013-06-17,526,133,198,77
2013-06-18,529,134,199,77
2013-06-19,534,135,200,78
2013-06-20,537,137,201,78
2013-06-21,538,137,202,78
2013-06-22,540,137,202,79
2013-06-23,545,138,204,80
